deal_name,hs_timestamp,hs_email_subject,hs_email_text,hs_email_direction,hs_email_status
Lonestar Assembly Solutions - Process Optimization Suite,2025-01-15T08:00:00Z,Great connecting - Lonestar x RevTops,"Ray, great speaking with you yesterday about the throughput challenges on your assembly lines. Attached is our Process Optimization Suite overview and a case study from a similar multi-line operation that saw 11% throughput improvement in the first 90 days. Looking forward to the demo next week!",EMAIL,SENT
Lonestar Assembly Solutions - Process Optimization Suite,2025-02-19T09:00:00Z,Pilot Results + Proposal - Lonestar,"Ray, attached are the full pilot results and our formal proposal. Key highlights: Line 2 showed 9.1% throughput improvement and 22% reduction in changeover time during the 2-week pilot. The proposal reflects our discussion on phased payment tied to rollout milestones. Happy to discuss.",EMAIL,SENT
Lonestar Assembly Solutions - Process Optimization Suite,2025-03-18T16:00:00Z,Re: Contract Redlines - Lonestar,"Ray, thanks for a productive session today. Attached are our revised contract terms addressing the two open items: (1) IP clause updated — Lonestar retains ownership of process-specific models, (2) 30-day cure period added for implementation milestones. Let me know if anything else is needed.",EMAIL,SENT
Cascade Automation Systems - Quality Management System,2025-02-04T08:30:00Z,QMS Solutions for Cascade Automation,"Beth, following up on our call yesterday. I completely understand the urgency with the FDA audit timeline. Attached is our QMS overview specifically highlighting 21 CFR Part 11 compliance features and a case study from a medical device manufacturer who went from paper-based to fully digital in 8 weeks.",EMAIL,SENT
Cascade Automation Systems - Quality Management System,2025-04-09T07:00:00Z,CEO Presentation Follow-up + References,"Beth, great session with Alan yesterday. As promised, here are 3 reference customers in pharma-adjacent manufacturing: (1) MedLine Devices — FDA-regulated, live in 6 weeks, (2) CleanRoom Components — ISO 13485, (3) BioFab Industries — full CAPA digitization. Happy to arrange calls with any of them.",EMAIL,SENT
Cascade Automation Systems - Quality Management System,2025-06-03T08:00:00Z,Implementation Plan - Cascade QMS,"Beth and Kevin, attached is the detailed implementation plan from yesterday's session. 9-week timeline with go-live August 1. Key milestones and resource requirements on page 2. Please review and confirm so we can lock in our implementation team.",EMAIL,SENT
Summit Plastics Corp - Maintenance Contract,2025-03-06T08:00:00Z,Predictive Maintenance for Summit Plastics,"Marcus, great call yesterday. The downtime numbers you shared are significant — two unplanned shutdowns at $180K each is exactly the kind of problem our predictive maintenance platform was built to solve. Attached is our solution brief for injection molding operations. Demo invite coming separately.",EMAIL,SENT
Summit Plastics Corp - Maintenance Contract,2025-05-01T08:00:00Z,Business Case + Next Steps - Summit,"Marcus, great meeting yesterday with your leadership team. Attached is the finalized business case document with the agreed-upon assumptions. Next steps on our side: (1) draft MSA and send to your legal, (2) begin sensor specification for your Engel machines. Looking forward to getting started!",EMAIL,SENT
Summit Plastics Corp - Maintenance Contract,2025-05-29T09:00:00Z,Re: MSA Redlines - Summit Plastics,"Marcus, thanks for the update. Glad the CEO approved. I've reviewed the MSA redlines from your legal team — all reasonable. Our counsel will have a clean version back to you by Monday. We're targeting June signatures with a July implementation kickoff. Almost there!",INCOMING_EMAIL,SENT
Frontier Hydraulics - Maintenance Contract,2025-03-20T08:00:00Z,Hydraulic Press Monitoring - Frontier,"Dave, enjoyed our conversation yesterday. Attached is our solution brief specifically covering hydraulic press monitoring — seal wear detection, valve degradation tracking, and the 72-hour predictive failure window. Also included a case study from a stamping operation with similar Schuler presses. Demo link enclosed.",EMAIL,SENT
Frontier Hydraulics - Maintenance Contract,2025-04-29T09:00:00Z,Pilot Proposal - Frontier Hydraulics,"Dave, following up on the technical deep-dive. Attached is a pilot proposal for 10 presses across your two facilities. The pilot includes full sensor installation, 90 days of monitoring, and a detailed ROI report at the end. If the pilot validates, we'd expand to all 40+ presses in Phase 2.",EMAIL,SENT
Blue Ridge Packaging - Automation Integration,2025-04-08T08:00:00Z,Automation Integration for Blue Ridge,"Lisa, great connecting yesterday. I understand the urgency with your new packaging line arriving in August. Attached is our automation integration overview showing SCADA connectivity, line orchestration, and commissioning timeline. We've done similar installs in as little as 3 weeks. Demo invite for next Tuesday attached.",EMAIL,SENT
Blue Ridge Packaging - Automation Integration,2025-05-13T08:00:00Z,Revised Proposal - Blue Ridge Packaging,"Lisa, thanks for the call yesterday. Updated proposal attached reflecting the expanded scope to include palletizing integration. The revised quote is $75K for the full package. Timeline remains on track for your August line arrival. Let me know if you'd like to move forward with a site assessment.",EMAIL,SENT
Pinnacle Composites - Safety Compliance Upgrade,2025-05-06T08:00:00Z,Safety Compliance Solutions - Pinnacle,"Sandra, following up on our call yesterday. I understand the urgency given the OSHA citation. Attached is our safety compliance platform overview covering gas detection, ventilation monitoring, PPE tracking, and incident reporting. Also included our OSHA compliance checklist — might be useful as you prepare. Demo next week.",EMAIL,SENT
TrueForm Tool & Die - Equipment Upgrade Package,2025-03-26T08:00:00Z,CNC Upgrade Options - TrueForm,"Frank, good call yesterday. Based on your Haas VF-2s and Mazak QTNs, I've put together an upgrade package covering new controls, tool management software, and remote monitoring. All-in at $35K for the 4 machines. Attached is the spec sheet. Looking forward to the site visit.",EMAIL,SENT
TrueForm Tool & Die - Equipment Upgrade Package,2025-05-16T08:00:00Z,Re: Ready to go - TrueForm,"Great to hear, Frank! I'll send over the PO and lease application today. For the phased approach (2 machines now, 2 in July), we'll schedule the first install crew for the week of June 2. Will confirm exact dates once the paperwork is signed.",INCOMING_EMAIL,SENT
Northern Alloys Corp - Process Optimization Suite,2025-04-15T08:00:00Z,Process Optimization for Northern Alloys,"Amy, enjoyed our call yesterday. An 8% scrap rate on specialty alloys is costly — our optimization suite can typically cut that by 40-60% within the first quarter. Attached is our metals-specific solution brief and a case study from a specialty steel operation. Would love to demo when your Plant Manager is available.",EMAIL,SENT
Prairie Wind Energy Components - Safety Compliance Upgrade,2025-03-11T08:00:00Z,Safety Monitoring Proposal - Prairie Wind,"Jim, following up on our conversation. Attached is the proposal for safety monitoring across your 3 bays — fall protection, confined space monitoring, and the compliance dashboard. At $25K this is our standard package for facilities your size. Let me know when you're ready to sign and we can schedule install.",EMAIL,SENT
